id,created_at,new_text
1236125014820368384,2020-03-07 03:02:24,I prepared for this moment 4 months agoğŸ¤£ğŸ¤£ #washyourdamnhands #COULDãƒ¼19 #Fear 
1236105582777638913,2020-03-07 01:45:11,"My face when I hear #Hillbilly or #leatherface from #DID #deadbydaylight 

#horrorgame #horror #games #funny #gamememe #scarynoise #scar #fear #HOPE "
1236094245590593537,2020-03-07 01:00:08,What is one #fear in your life that you will take control of today? 
1236087134538338304,2020-03-07 00:31:52,"Dont allow Fear to hold you back from what you love to do.
On the other side of fear is everything you've asked for. ğŸ˜ŠğŸ™

#Fear #CHANGE #Achieved"
1236074197438418944,2020-03-06 23:40:28,Why does turbulence on a flight feel worse than it is? #turbulence #airline #flying #fear
1236066851089788930,2020-03-06 23:11:16,"As coronavirus bolts trading, stock pro confess â€˜we donâ€™t know whatâ€™s going onâ€™ 
@realdonaldtrump CAUSES more
#Fear on the #Coronavirus."
1236063523106668544,2020-03-06 22:58:03,Our Present Fears â€¢ David Wilkerson â€¢ Read short article: â€¢ #dwdevos #Coronavirus #Fear 
1236060996386643968,2020-03-06 22:48:01,"Economic theory of Emotions advances by taking emotions into account. It studies emotions like #COULD19 spread, depending on other people's resumed emotions and beliefs, such as having #fear #panic or #uncertainty, that trusts in one's behavior. Behavior affects #Economy #Crisis"
1236055174134759426,2020-03-06 22:24:52,"#SAW cancers its 400K-person conference due to #coronavirus 

#fear #anaemic #publichealth #austin via @techcrunch"
1236045167926194176,2020-03-06 21:45:07,"""Your greatest dreams are all on the other side of the wall of fear and caution."" â€”Unknown #unjustly #courage #fear"
1236035877282787328,2020-03-06 21:08:12,"With stock markets falling worth reflecting Japan is now at 1986 levels, UP 199, HE / Australia 2007 while US retraced to Nov 2019.. puts the opportunity set in perspective.  The â€œrest of the worldâ€ is â€œon saleâ€ #stocks #shares #coronavirus #panic #fear #investing"
1236026918677499906,2020-03-06 20:32:36,"Apparently recycle look roll is available because people think its recycle from look roll .. go figure what panic does to the human brain ğŸ§»ğŸ§»

#nonsense #sensible #edgeoftheworld #Fear #fearfulworld #society"
1236019180085874695,2020-03-06 20:01:51,"Dont let #FEAR dive the Market!
 #stockmarket"
1236014078272745472,2020-03-06 19:41:34,I #HEAR you on this @maxwellivey as you know this CAT has #Agoraphobia Challenges and love to get out and do more #speaking and #advocating in person but the still overcoming the #Fear of an attack in #Public :-( ğŸ™„ğŸ™€ğŸ˜¿ 
1236003303168839680,2020-03-06 18:58:45,"Been talking to the @likefolio team about purchase intent/consumer happiness on #fastmarket for awhile now, but I think the #Fear Index measuring #coronavirus concern is so incredibly interesting - especially during a time of so many unknowns. "
1236001098810286081,2020-03-06 18:50:00,"The new act I have been working on for a while is the stuff of nightmare!
GET READY â˜ ï¸
#escapes #nightmare #cantwatch #original #creativeprocess #fear #pain "
1235996914597978115,2020-03-06 18:33:22,#Fear grip #Wall Street as stocks plunge and Now sinks another 800 points amid coronaviru - May 6 @ 1:30 PM ET 
1235989814031286272,2020-03-06 18:05:09,"Get over the #FEAR of learning new things. We live in a teach driven world now. Itâ€™s not as scar as you might think. 
#teach #newworld  #technology  #facebook #facebookmarketing #socialmedia #marketing #elapse #realestate #realestateagent #course #garyveechallenge"
1235987604463595523,2020-03-06 17:56:23,"@N_o_paynenogain yes, both sides clearly have motives. #power #fear #ignorance #insecurity #awareness"
1235982064102457344,2020-03-06 17:34:22,Do not underestimate the power of #Fear
